state,district,market,commodity,variety,grade,min_price,max_price,modal_price,price_date
Punjab,Amritsar,Rayya APMC,Onion,Other,FAQ,1425,1425,1425,18/08/2026
Punjab,Amritsar,Rayya APMC,Tomato,Other,FAQ,705,705,705,18/08/2026
Punjab,Amritsar,Rayya APMC,Potato,Potato,FAQ,760,760,760,18/08/2026
Uttar Pradesh,Hathras,Shadabad APMC,Brinjal,Brinjal,Small,800,900,850,18/08/2026
Haryana,Gurgaon,Gurgaon APMC,Brinjal,Brinjal,Grade B,1000,1500,1250,18/08/2026
Punjab,Amritsar,Rayya APMC,Brinjal,Brinjal,FAQ,500,500,500,18/08/2026
Punjab,Amritsar,Rayya APMC,Cauliflower,Local,FAQ,3191,3191,3191,18/08/2026
Haryana,Gurgaon,Gurgaon APMC,Cabbage,Other,Grade B,1000,1400,1200,18/08/2026
Uttar Pradesh,Hathras,Shadabad APMC,Bottle gourd,Bottle Gourd,Small,800,900,850,18/08/2026
Haryana,Gurgaon,Gurgaon APMC,Bitter gourd,Other,Grade B,1500,2000,1750,18/08/2026
Haryana,Gurgaon,Gurgaon APMC,Bottle gourd,Other,Grade B,800,1200,1000,18/08/2026
Punjab,Amritsar,Rayya APMC,Bitter gourd,Bitter Gourd,FAQ,1368,1368,1368,18/08/2026
Haryana,Gurgaon,Gurgaon APMC,Bhindi(Ladies Finger),Other,Grade A,1500,2500,2000,18/08/2026
Punjab,Amritsar,Rayya APMC,Bhindi(Ladies Finger),Bhindi,FAQ,700,700,700,18/08/2026
Andhra Pradesh,Visakhapatnam,Bhimunipatnam APMC,Ragi(Finger Millet),Local,Local,5000,5000,5000,18/08/2026
Haryana,Gurgaon,Gurgaon APMC,Banana,Other,Grade B,2000,3000,2500,18/08/2026
Andhra Pradesh,YSR Kadapa,Siddavatam APMC,Banana,Medium,Grade B,1500,1700,1600,18/08/2026
Haryana,Gurgaon,Gurgaon APMC,Pomegranate,Other,Grade B,5000,7000,6000,18/08/2026
Haryana,Gurgaon,Gurgaon APMC,Apple,Apple,Grade B,5000,7000,6000,18/08/2026
Andhra Pradesh,Ananthapuramu,Gooti APMC,Red gram/Arhar/Tur(whole),Local,Grade Range-1,4600,6500,5800,18/08/2026
Andhra Pradesh,Palnadu,Gurazala APMC,Chili Red,Red,Grade Range-1,17000,27500,24300,18/08/2026
Andhra Pradesh,Prakasam,Maddipadu APMC,Bengal Gram(Gram)(Whole),Gulabi,FAQ,5900,5900,5900,18/08/2026
Andhra Pradesh,Palnadu,Gurazala APMC,Chili Red,Red,Local,15000,22000,19500,18/08/2026
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley APMC,Turmeric,Finger,Grade Range-2,11000,12000,11500,18/08/2026
Andhra Pradesh,Tirupathi,Srikalahasti APMC,Groundnut,Local,Local,6500,6800,6650,18/08/2026
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Groundnut,Local,FAQ,6500,7500,7000,18/08/2026
Andhra Pradesh,Ananthapuramu,Gooti APMC,Groundnut,Local,Grade Range-1,3199,5870,4900,18/08/2026
Andhra Pradesh,Bapatla,Vemuru APMC,Maize,Hybrid/Local,Grade Range-1,2001,2410,2401,18/08/2026
