state,district,market,commodity,variety,grade,min_price,max_price,modal_price,price_date
Assam,Sonitpur,Dhekiajuli APMC,Onion,Other,FAQ,1800,1900,1900,26/03/2026
Haryana,Gurgaon,Gurgaon APMC,Onion,Other,Grade B,1000,2000,1500,26/03/2026
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,2000,2000,2000,26/03/2026
Kerala,Idukki,Kattappana APMC,Onion,Big,Medium,1700,1800,1800,26/03/2026
Kerala,Idukki,Kattappana APMC,Onion,Small,Medium,3600,4000,4000,26/03/2026
Odisha,Dhenkanal,Hindol APMC,Onion,Other,Grade B,1700,2000,1800,26/03/2026
Punjab,Amritsar,Rayya APMC,Onion,Red,FAQ,1245,1245,1245,26/03/2026
Punjab,Ludhiana,Sahnewal APMC,Onion,Onion,FAQ,1800,1800,1800,26/03/2026
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Onion,Nasik,Grade A,1200,1600,1400,26/03/2026
Tripura,North Tripura,Dasda APMC,Onion,Onion,FAQ,2700,2800,2750,26/03/2026
Uttar Pradesh,Bulandshahar,Gulavati APMC,Onion,Onion,FAQ,1500,1700,1600,26/03/2026
Uttar Pradesh,Shamli,Kairana APMC,Onion,Red,FAQ,1200,1300,1250,26/03/2026
Uttar Pradesh,Hathras,Shadabad APMC,Onion,Onion,Small,900,1000,950,26/03/2026
Uttarakhand,Dehradoon,Vikasnagar APMC,Onion,Other,Medium,1000,2200,1700,26/03/2026
West Bengal,Darjeeling,Karsiyang(Matigara) APMC,Onion,Nasik,FAQ,2800,3000,2900,26/03/2026
West Bengal,Darjeeling,Siliguri APMC,Onion,Onion,FAQ,1900,2100,2000,26/03/2026
Assam,Sonitpur,Dhekiajuli APMC,Tomato,Other,FAQ,1700,1800,1800,26/03/2026
Gujarat,Amreli,Damnagar APMC,Tomato,Local,Local,3500,3500,3500,26/03/2026
Haryana,Gurgaon,Gurgaon APMC,Tomato,Other,Grade B,1500,2500,2000,26/03/2026
Odisha,Dhenkanal,Hindol APMC,Tomato,Tomato,Grade B,1000,1200,1100,26/03/2026
Odisha,Sundergarh,Panposh APMC,Tomato,Local,FAQ,1500,2400,2000,26/03/2026
Punjab,Amritsar,Rayya APMC,Tomato,Other,FAQ,945,945,945,26/03/2026
Punjab,Ludhiana,Sahnewal APMC,Tomato,Tomato,FAQ,3000,3000,3000,26/03/2026
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Tomato,Tomato,Grade A,1800,2200,2000,26/03/2026
West Bengal,Darjeeling,Siliguri APMC,Tomato,Tomato,FAQ,1400,1600,1500,26/03/2026
West Bengal,Darjeeling,Karsiyang(Matigara) APMC,Tomato,Other,FAQ,2200,2400,2300,26/03/2026
West Bengal,Darjeeling,Darjeeling APMC,Tomato,Other,FAQ,2100,2300,2200,26/03/2026
Assam,Sonitpur,Dhekiajuli APMC,Potato,Local,FAQ,800,900,900,26/03/2026
Haryana,Gurgaon,Gurgaon APMC,Potato,Other,Grade B,500,600,550,26/03/2026
Haryana,Rewari,Kosli APMC,Potato,Other,FAQ,1000,1200,1100,26/03/2026
Punjab,Amritsar,Rayya APMC,Potato,Potato,FAQ,530,535,532.89,26/03/2026
Punjab,Ludhiana,Sahnewal APMC,Potato,Potato,FAQ,600,600,600,26/03/2026
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Potato,Desi,Grade A,400,800,600,26/03/2026
Tripura,North Tripura,Dasda APMC,Potato,Local,FAQ,1500,1600,1550,26/03/2026
Uttar Pradesh,Bulandshahar,Gulavati APMC,Potato,Desi,FAQ,1200,1400,1300,26/03/2026
Uttar Pradesh,Hathras,Shadabad APMC,Potato,Potato,Small,400,500,450,26/03/2026
Uttar Pradesh,Shamli,Kairana APMC,Potato,Desi,FAQ,700,800,750,26/03/2026
West Bengal,Darjeeling,Siliguri APMC,Potato,Jyoti,FAQ,730,760,750,26/03/2026
West Bengal,Darjeeling,Karsiyang(Matigara) APMC,Potato,Red,FAQ,1500,1700,1600,26/03/2026
West Bengal,Darjeeling,Darjeeling APMC,Potato,Red,FAQ,1500,1700,1600,26/03/2026
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Garlic,Garlic,Grade Range-1,11000,11400,11200,26/03/2026
Uttar Pradesh,Shamli,Kairana APMC,Garlic,Garlic,FAQ,6000,6100,6050,26/03/2026
Uttar Pradesh,Bulandshahar,Gulavati APMC,Garlic,Desi,FAQ,6100,6300,6200,26/03/2026
Gujarat,Amreli,Damnagar APMC,Ginger(Green),Green Ginger,Local,6500,6500,6500,26/03/2026
West Bengal,Darjeeling,Darjeeling APMC,Ginger(Green),Other,FAQ,8000,8200,8100,26/03/2026
West Bengal,Darjeeling,Siliguri APMC,Ginger(Green),Green Ginger,FAQ,5600,6000,5800,26/03/2026
Gujarat,Amreli,Damnagar APMC,Brinjal,Other,Local,2500,2500,2500,26/03/2026
Haryana,Rewari,Kosli APMC,Brinjal,Other,FAQ,1000,1000,1000,26/03/2026
Kerala,Kottayam,Pampady APMC,Brinjal,Brinjal,FAQ,2500,3500,3000,26/03/2026
Kerala,Kottayam,Athirampuzha APMC,Brinjal,Brinjal,FAQ,3000,3200,3100,26/03/2026
Kerala,Idukki,Kattappana APMC,Brinjal,Other,Medium,3400,4000,3700,26/03/2026
