state,district,market,commodity,variety,grade,min_price,max_price,modal_price,price_date
Punjab,Amritsar,Rayya APMC,Onion,Other,FAQ,1421,1421,1421,20/08/2026
Punjab,Moga,Nihal Singh Wala APMC,Onion,Onion,FAQ,3200,3200,3200,20/08/2026
West Bengal,Paschim Bardhaman,Durgapur APMC,Onion,Nasik,FAQ,2650,2800,2750,20/08/2026
Punjab,Amritsar,Rayya APMC,Tomato,Other,FAQ,706,706,706,20/08/2026
Punjab,Moga,Nihal Singh Wala APMC,Tomato,Other,FAQ,2700,2700,2700,20/08/2026
West Bengal,Paschim Bardhaman,Durgapur APMC,Tomato,Hybrid,FAQ,2600,2750,2700,20/08/2026
Odisha,Sundergarh,Panposh APMC,Tomato,Hybrid,FAQ,3000,4000,3500,20/08/2026
Bihar,Madhubani,Jainagar APMC,Tomato,Deshi,Grade A,3800,5000,4280,20/08/2026
Punjab,Moga,Nihal Singh Wala APMC,Potato,Potato,FAQ,800,800,800,20/08/2026
West Bengal,Paschim Bardhaman,Durgapur APMC,Potato,Jyoti,FAQ,800,860,820,20/08/2026
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Brinjal,Brinjal,FAQ,1400,1460,1440,20/08/2026
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Brinjal,Round/Long,FAQ,1120,1160,1140,20/08/2026
Punjab,Amritsar,Rayya APMC,Brinjal,Brinjal,FAQ,500,500,500,20/08/2026
West Bengal,Paschim Bardhaman,Durgapur APMC,Brinjal,Other,FAQ,3650,3800,3785,20/08/2026
Odisha,Sundergarh,Panposh APMC,Brinjal,Brinjal,FAQ,3000,4000,3500,20/08/2026
Bihar,Madhubani,Jainagar APMC,Brinjal,Brinjal,Grade A,2000,3000,2400,20/08/2026
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Cauliflower,Cauliflower,FAQ,1500,1530,1515,20/08/2026
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Cauliflower,Cauliflower,FAQ,2300,2400,2330,20/08/2026
