state,district,market,commodity,variety,grade,min_price,max_price,modal_price,price_date
Gujarat,Surat,Surat APMC,Onion,Other,FAQ,400,1800,1100,21/04/2026
Haryana,Gurgaon,Gurgaon APMC,Onion,Other,Grade B,1000,2000,1500,21/04/2026
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,2000,2000,2000,21/04/2026
Punjab,Tarntaran,Tarantaran APMC,Onion,Other,Local,1600,1700,1656.52,21/04/2026
Punjab,Ludhiana,Sahnewal APMC,Onion,Onion,FAQ,1900,1900,1900,21/04/2026
Punjab,Amritsar,Rayya APMC,Onion,Red,FAQ,1160,1160,1160,21/04/2026
Odisha,Rayagada,Rayagada APMC,Onion,Nasik,Medium,1700,1800,1800,21/04/2026
Odisha,Sundergarh,Sargipali APMC,Onion,Other,FAQ,1300,1500,1400,21/04/2026
Odisha,Boudh,Boudh APMC,Onion,Other,Local,2000,2500,2200,21/04/2026
Odisha,Dhenkanal,Hindol APMC,Onion,Other,Grade B,1700,2000,1800,21/04/2026
Odisha,Sambalpur,Rairakhol APMC,Onion,Onion,Grade B,1200,2000,1500,21/04/2026
Odisha,Dhenkanal,Dhenkanal APMC,Onion,Onion,Grade B,3100,3100,3100,21/04/2026
Kerala,Alappuzha,Chengannur APMC,Onion,Small,FAQ,4500,5000,4800,21/04/2026
Kerala,Malappuram,Manjeri APMC,Onion,Other,Local,1650,1750,1700,21/04/2026
Kerala,Alappuzha,Harippad APMC,Onion,Small,FAQ,4000,4500,4000,21/04/2026
Kerala,Kozhikode(Calicut),Kallachi APMC,Onion,Big,FAQ,1600,2000,1800,21/04/2026
Kerala,Malappuram,Kondotty APMC,Onion,Other,FAQ,1800,2000,1900,21/04/2026
Kerala,Kozhikode(Calicut),Mukkom APMC,Onion,Onion,FAQ,2000,2300,2100,21/04/2026
Kerala,Alappuzha,Harippad APMC,Onion,Big,FAQ,2000,2500,2000,21/04/2026
Kerala,Ernakulam,Perumbavoor APMC,Onion,Onion,Medium,2500,3300,2800,21/04/2026
Kerala,Alappuzha,Chengannur APMC,Onion,Big,FAQ,1700,2000,1800,21/04/2026
Uttarakhand,Dehradoon,Vikasnagar APMC,Onion,Other,Medium,1200,1200,1200,21/04/2026
Uttarakhand,Haridwar,Roorkee APMC,Onion,Other,Medium,2000,4000,3000,21/04/2026
Uttar Pradesh,Ghaziabad,Noida APMC,Tomato,Other,FAQ,1000,1000,1000,21/04/2026
Uttar Pradesh,Bijnor,Kiratpur APMC,Tomato,Other,FAQ,1400,1400,1400,21/04/2026
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Tomato,Tomato,FAQ,1200,1200,1200,21/04/2026
Uttar Pradesh,Hathras,Shadabad APMC,Tomato,Tomato,Small,1100,1200,1150,21/04/2026
Uttar Pradesh,Jalaun (Orai),Jalaun APMC,Tomato,Other,FAQ,1200,1200,1200,21/04/2026
