state,district,market,commodity,variety,grade,min_price,max_price,modal_price,price_date
Haryana,Gurgaon,Gurgaon APMC,Onion,Other,Grade B,1000,2000,1500,22/03/2026
Rajasthan,Rajsamand,Rajsamand APMC,Onion,Onion,FAQ,1400,1600,1500,22/03/2026
Haryana,Gurgaon,Gurgaon APMC,Tomato,Other,Grade B,1000,2000,1500,22/03/2026
Rajasthan,Rajsamand,Rajsamand APMC,Tomato,Tomato,FAQ,1000,1200,1100,22/03/2026
Haryana,Gurgaon,Gurgaon APMC,Potato,Other,Grade B,500,600,550,22/03/2026
Kerala,Alappuzha,Mannar APMC,Brinjal,Other,FAQ,3000,3300,3200,22/03/2026
Tripura,Dhalai,Kulai APMC,Brinjal,Round/Long,Grade B,2500,3000,2700,22/03/2026
Uttarakhand,Haridwar,Bhagwanpur(Naveen Mandi Sthal) APMC,Brinjal,Other,Grade A,600,600,600,22/03/2026
Punjab,Tarntaran,Naushera Pannuan APMC,Cauliflower,Other,Grade B,1000,1000,1000,22/03/2026
Tripura,Dhalai,Kulai APMC,Cauliflower,Local,Grade B,2000,2500,2300,22/03/2026
Uttarakhand,Haridwar,Bhagwanpur(Naveen Mandi Sthal) APMC,Cauliflower,Other,Grade A,487.5,487.5,487.5,22/03/2026
Kerala,Alappuzha,Mannar APMC,Cabbage,Other,FAQ,2500,2700,2600,22/03/2026
Punjab,Tarntaran,Naushera Pannuan APMC,Cabbage,Cabbage,Grade B,800,800,800,22/03/2026
Tripura,Dhalai,Kulai APMC,Cabbage,Cabbage,Grade B,1000,1500,1300,22/03/2026
Kerala,Alappuzha,Mannar APMC,Bitter gourd,Other,FAQ,4500,4700,4600,22/03/2026
Punjab,Tarntaran,Naushera Pannuan APMC,Bottle gourd,Bottle Gourd,Grade B,2000,2000,2000,22/03/2026
Tripura,Khowai,Teliamura APMC,Bitter gourd,Bitter Gourd,Medium,5400,5600,5500,22/03/2026
Tripura,Dhalai,Kulai APMC,Bitter gourd,Bitter Gourd,Grade B,5600,6000,5800,22/03/2026
Gujarat,Narmada,Rajpipla APMC,Banana,Other,Medium,2075,2225,2150,22/03/2026
Kerala,Malappuram,Mankada VFPCK APMC,Banana,Nendra Bale,Local,2100,2300,2200,22/03/2026
Kerala,Alappuzha,Mannar APMC,Banana - Green,Banana - Green,FAQ,4500,4600,4500,22/03/2026
Tripura,Dhalai,Kulai APMC,Banana - Green,Banana - Green,Grade B,1500,2000,1700,22/03/2026
Tamil Nadu,Coimbatore,Sundarapuram(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,5000,5500,5250,22/03/2026
Tamil Nadu,Dharmapuri,AJattihalli(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,7000,8000,7500,22/03/2026
Tamil Nadu,Karur,Vengamedu(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,5500,6000,5750,22/03/2026
Tamil Nadu,Namakkal,Rasipuram(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,5600,6000,5800,22/03/2026
Tamil Nadu,Ramanathapuram,Ramanathapuram(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,6000,6500,6250,22/03/2026
Tamil Nadu,Ramanathapuram,Paramakudi(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,5500,5800,5650,22/03/2026
Tamil Nadu,Salem,Edapadi (Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2000,2000,2000,22/03/2026
Tamil Nadu,Sivaganga,Devakottai (Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4500,5000,4750,22/03/2026
Tamil Nadu,Theni,Kambam(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,3000,3000,3000,22/03/2026
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,3000,3000,3000,22/03/2026
Tamil Nadu,Thiruvannamalai,Tiruvannamalai(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4000,5000,4500,22/03/2026
Tamil Nadu,Thiruvannamalai,Polur(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4200,5000,4600,22/03/2026
Tamil Nadu,Thiruvannamalai,Vandavasi(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4000,5000,4500,22/03/2026
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,3000,3000,3000,22/03/2026
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,3000,3000,3000,22/03/2026
Tamil Nadu,Virudhunagar,Aruppukottai(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4500,5000,4750,22/03/2026
Tamil Nadu,Virudhunagar,Thalavaipuram(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4000,5000,4500,22/03/2026
Tamil Nadu,Ranipet,Ranipettai(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,3000,3000,3000,22/03/2026
Tamil Nadu,Thirupur,Dharapuram(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4500,4800,4650,22/03/2026
Tamil Nadu,Thirupur,Tiruppur (North) (Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4000,4500,4250,22/03/2026
Tamil Nadu,Vellore,Thirupathur APMC,Coriander(Leaves),I Sort,Local,5000,5000,5000,22/03/2026
Tamil Nadu,Krishnagiri,Kaveripattinam(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4500,4500,4500,22/03/2026
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Coriander(Leaves),I Sort,Local,5500,6000,5750,22/03/2026
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4200,4200,4200,22/03/2026
Tamil Nadu,Villupuram,Tindivanam APMC,Coriander(Leaves),I Sort,Local,4000,4000,4000,22/03/2026
Tamil Nadu,Namakkal,Tiruchengode APMC,Coriander(Leaves),I Sort,Local,5400,6000,5700,22/03/2026
Tamil Nadu,Ariyalur,Jeyankondam (Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,3400,3800,3600,22/03/2026
Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,5000,5500,5250,22/03/2026
Tamil Nadu,Karur,Karur(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,5500,6000,5750,22/03/2026
Tamil Nadu,Cuddalore,Vadalur(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,5000,5000,5000,22/03/2026
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4000,4500,4250,22/03/2026
Tamil Nadu,Madurai,Usilampatti(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4000,4500,4250,22/03/2026
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4200,4600,4400,22/03/2026
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4500,5000,4750,22/03/2026
Tamil Nadu,Tuticorin,Kovilpatti(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4000,4500,4250,22/03/2026
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,3000,3000,3000,22/03/2026
Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4000,5000,4500,22/03/2026
Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,3000,3000,3000,22/03/2026
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,3000,4000,3500,22/03/2026
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4500,5000,4750,22/03/2026
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4000,4000,4000,22/03/2026
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,3200,3600,3400,22/03/2026
Tamil Nadu,Salem,Athur(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,3000,3500,3250,22/03/2026
Tamil Nadu,Dharmapuri,Harur(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,3500,4000,3750,22/03/2026
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Coriander(Leaves),I Sort,Local,4500,5000,4750,22/03/2026
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Coriander(Leaves),I Sort,Local,5000,5000,5000,22/03/2026
Tamil Nadu,Villupuram,Ulundurpettai APMC,Coriander(Leaves),I Sort,Local,6000,6000,6000,22/03/2026
Tamil Nadu,Thiruvannamalai,Cheyyar(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,4000,5000,4500,22/03/2026
